state,season,week_ending_date,age_category,sex,race,rate,cumulative_rate,month,weekday,hispanic
Utah,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,12.7,12.7,1,Saturday,1
Utah,2022-23,1/7/2023,0-17 years (Children),All,"A/PI, non-Hispanic",0,0,1,Saturday,0
Utah,2022-23,1/7/2023,0-17 years (Children),All,"AI/AN, non-Hispanic",0,0,1,Saturday,0
Utah,2022-23,1/7/2023,0-17 years (Children),All,"Black, non-Hispanic",0,0,1,Saturday,0
Utah,2022-23,1/7/2023,0-17 years (Children),All,"White, non-Hispanic",3.9,3.9,1,Saturday,0
Utah,2022-23,1/7/2023,0-17 years (Children),Female,All,6.2,6.2,1,Saturday,0
Utah,2022-23,1/7/2023,0-17 years (Children),Male,All,6.6,6.6,1,Saturday,0
Tennessee,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,1.7,1.7,1,Saturday,1
Tennessee,2022-23,1/7/2023,0-17 years (Children),All,"A/PI, non-Hispanic",0,0,1,Saturday,0
Tennessee,2022-23,1/7/2023,0-17 years (Children),All,"AI/AN, non-Hispanic",0,0,1,Saturday,0
Tennessee,2022-23,1/7/2023,0-17 years (Children),All,"Black, non-Hispanic",5.7,5.7,1,Saturday,0
Tennessee,2022-23,1/7/2023,0-17 years (Children),All,"White, non-Hispanic",0.4,0.4,1,Saturday,0
Tennessee,2022-23,1/7/2023,0-17 years (Children),Female,All,1,1,1,Saturday,0
Tennessee,2022-23,1/7/2023,0-17 years (Children),Male,All,1.9,1.9,1,Saturday,0
Oregon,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,1.3,1.3,1,Saturday,1
Oregon,2022-23,1/7/2023,0-17 years (Children),All,"A/PI, non-Hispanic",0,0,1,Saturday,0
Oregon,2022-23,1/7/2023,0-17 years (Children),All,"AI/AN, non-Hispanic",0,0,1,Saturday,0
Oregon,2022-23,1/7/2023,0-17 years (Children),All,"Black, non-Hispanic",0,0,1,Saturday,0
Oregon,2022-23,1/7/2023,0-17 years (Children),All,"White, non-Hispanic",1.5,1.5,1,Saturday,0
Oregon,2022-23,1/7/2023,0-17 years (Children),Female,All,0.6,0.6,1,Saturday,0
Oregon,2022-23,1/7/2023,0-17 years (Children),Male,All,3.3,3.3,1,Saturday,0
New York,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,4.5,4.5,1,Saturday,1
New York,2022-23,1/7/2023,0-17 years (Children),All,"A/PI, non-Hispanic",11.6,11.6,1,Saturday,0
New York,2022-23,1/7/2023,0-17 years (Children),All,"AI/AN, non-Hispanic",0,0,1,Saturday,0
New York,2022-23,1/7/2023,0-17 years (Children),All,"Black, non-Hispanic",0,0,1,Saturday,0
New York,2022-23,1/7/2023,0-17 years (Children),All,"White, non-Hispanic",1.4,1.4,1,Saturday,0
New York,2022-23,1/7/2023,0-17 years (Children),Female,All,2.9,2.9,1,Saturday,0
New York,2022-23,1/7/2023,0-17 years (Children),Male,All,1.7,1.7,1,Saturday,0
New Mexico,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,4.6,4.6,1,Saturday,1
New Mexico,2022-23,1/7/2023,0-17 years (Children),All,"A/PI, non-Hispanic",0,0,1,Saturday,0
New Mexico,2022-23,1/7/2023,0-17 years (Children),All,"AI/AN, non-Hispanic",46.8,46.8,1,Saturday,0
New Mexico,2022-23,1/7/2023,0-17 years (Children),All,"Black, non-Hispanic",25.8,25.8,1,Saturday,0
New Mexico,2022-23,1/7/2023,0-17 years (Children),All,"White, non-Hispanic",19,19,1,Saturday,0
New Mexico,2022-23,1/7/2023,0-17 years (Children),Female,All,9,9,1,Saturday,0
New Mexico,2022-23,1/7/2023,0-17 years (Children),Male,All,11.5,11.5,1,Saturday,0
Minnesota,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,2.7,2.7,1,Saturday,1
Minnesota,2022-23,1/7/2023,0-17 years (Children),All,"A/PI, non-Hispanic",5.3,5.3,1,Saturday,0
Minnesota,2022-23,1/7/2023,0-17 years (Children),All,"AI/AN, non-Hispanic",0,0,1,Saturday,0
Minnesota,2022-23,1/7/2023,0-17 years (Children),All,"Black, non-Hispanic",0.9,0.9,1,Saturday,0
Minnesota,2022-23,1/7/2023,0-17 years (Children),All,"White, non-Hispanic",2,2,1,Saturday,0
Minnesota,2022-23,1/7/2023,0-17 years (Children),Female,All,2.6,2.6,1,Saturday,0
Minnesota,2022-23,1/7/2023,0-17 years (Children),Male,All,2.2,2.2,1,Saturday,0
Michigan,2022-23,1/7/2023,0-17 years (Children),All,Hispanic,5.1,5.1,1,Saturday,1
